number,value,datetime_start,datetime_complete,duration,params_fast,params_slow,user_attrs_calmar_ratio,user_attrs_max_drawdown,user_attrs_max_drawdown_duration,user_attrs_sharpe_ratio,user_attrs_sortino_ratio,user_attrs_total_return,state
27,-2.6163974110340775,2026-04-06 16:05:43.909939,2026-04-06 16:05:44.136403,0 days 00:00:00.226464,15,30,-0.9601377762425194,-0.1389049556329286,8342.0,-2.6163974110340775,-2.155399992516766,-0.1333537340963123,COMPLETE
28,0.4072165807397124,2026-04-06 16:05:44.136766,2026-04-06 16:05:44.245079,0 days 00:00:00.108313,20,50,0.3189367564585032,-0.1490193359271339,6376.0,0.4072165807397124,0.3819643312348193,0.047522191186961174,COMPLETE
29,-0.5586773816948,2026-04-06 16:05:44.245470,2026-04-06 16:05:44.354997,0 days 00:00:00.109527,5,50,-0.46432312203307385,-0.18779075790264965,7199.0,-0.5586773816948,-0.5011353863711873,-0.0871860842732181,COMPLETE
30,-0.406110867911936,2026-04-06 16:05:44.355581,2026-04-06 16:05:44.464315,0 days 00:00:00.108734,10,50,-0.5066109240053651,-0.16377544469007943,6376.0,-0.406110867911936,-0.3656054877273914,-0.08296136207814087,COMPLETE
31,0.4072165807397124,2026-04-06 16:05:44.464801,2026-04-06 16:05:44.573562,0 days 00:00:00.108761,20,50,0.3189367564585032,-0.1490193359271339,6376.0,0.4072165807397124,0.3819643312348193,0.047522191186961174,COMPLETE
32,0.4072165807397124,2026-04-06 16:05:44.574027,2026-04-06 16:05:44.693435,0 days 00:00:00.119408,20,50,0.3189367564585032,-0.1490193359271339,6376.0,0.4072165807397124,0.3819643312348193,0.047522191186961174,COMPLETE
33,0.4072165807397124,2026-04-06 16:05:44.693956,2026-04-06 16:05:44.818342,0 days 00:00:00.124386,20,50,0.3189367564585032,-0.1490193359271339,6376.0,0.4072165807397124,0.3819643312348193,0.047522191186961174,COMPLETE
34,0.07056216848600924,2026-04-06 16:05:44.818861,2026-04-06 16:05:44.929139,0 days 00:00:00.110278,20,60,0.025777229299852104,-0.09231993568290342,7919.0,0.07056216848600924,0.06648171520339875,0.002379480166893896,COMPLETE
35,-1.04228142612133,2026-04-06 16:05:44.929528,2026-04-06 16:05:45.152957,0 days 00:00:00.223429,20,30,-0.8553679044184536,-0.0760667907673449,7919.0,-1.04228142612133,-0.9764029224809269,-0.06505791091941523,COMPLETE
36,-0.14958129872035358,2026-04-06 16:05:45.153361,2026-04-06 16:05:45.263515,0 days 00:00:00.110154,25,50,-0.1152475326409708,-0.04679978950986219,7636.0,-0.14958129872035358,-0.1365944691760485,-0.005392946229125984,COMPLETE
37,-0.49755287658117814,2026-04-06 16:05:45.263940,2026-04-06 16:05:45.370999,0 days 00:00:00.107059,15,50,-0.5050855501961812,-0.13563076264458562,4349.0,-0.49755287658117814,-0.4241454593300976,-0.06849759231988453,COMPLETE
38,-1.573343068809113,2026-04-06 16:05:45.371415,2026-04-06 16:05:45.478730,0 days 00:00:00.107315,5,60,-0.6985718203932033,-0.16399946139667898,5705.0,-1.573343068809113,-1.4022377661552823,-0.11455310349073572,COMPLETE
39,-1.4122225485802984,2026-04-06 16:05:45.479121,2026-04-06 16:05:45.587750,0 days 00:00:00.108629,20,40,-0.7423866310208589,-0.2049563237404044,4349.0,-1.4122225485802984,-1.2063458482207323,-0.152140859119793,COMPLETE
